,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.235209083557129,0.1817472930628049,0.002703285217285156,0.00058122480239715,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-3.2819189592839715,-2.6791873250080034,-4.803179055803979,-2.6568168854273373,-3.7232194544612933,-3.4288643359969173,0.7943615946554957,77,-1.7400379920648636,-1.672265788838423,-1.6861788201831223,-1.7756115325468238,-1.6660459425110348,-1.7080280152288534,0.042687208904638715
1,2.0749603271484376,0.2718862706966706,0.0023139476776123046,0.0008832327857711043,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.5424838083436203,-2.6323944072760477,-2.6145922755865447,-2.2020606897686803,-2.8992894278875556,-2.5781641217724895,0.22365879048900317,11,-1.7058163202889791,-1.6341364890858154,-1.640244135113462,-1.7443839001598391,-1.6300377286051506,-1.6709237146506493,0.04600020261591436
2,1.9996726036071777,0.0955099117077482,0.002363109588623047,0.00039130921971094855,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-3.2819189592839715,-2.6791873250080034,-4.803179055803979,-2.6568168854273373,-3.7232194544612933,-3.4288643359969173,0.7943615946554957,77,-1.7400379920648636,-1.672265788838423,-1.6861788201831223,-1.7756115325468238,-1.6660459425110348,-1.7080280152288534,0.042687208904638715
3,2.0434505462646486,0.2539885584339722,0.001899862289428711,0.0013701076798836042,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2.5424838083436203,-2.6323944072760477,-2.6145922755865447,-2.2020606897686803,-2.8992894278875556,-2.5781641217724895,0.22365879048900317,11,-1.7058163202889791,-1.6341364890858154,-1.640244135113462,-1.7443839001598391,-1.6300377286051506,-1.6709237146506493,0.04600020261591436
4,4.942487573623657,0.3595509082233674,0.0034671783447265624,0.00035393315077788157,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-2.6118856130291945,-2.6632074433244095,-3.928454681067203,-2.3801123510779494,-3.345964680446927,-2.985924953789137,0.57079800650932,65,-1.7045398184901408,-1.6251105472713743,-1.611747281325222,-1.6973630302889797,-1.587572407913936,-1.6452666170579306,0.047086693376191015
5,4.451751232147217,0.19316982650786607,0.0036507606506347655,0.001555850148438975,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.5407460015939427,-2.613420151862012,-2.606914486022967,-2.3678815926723824,-3.052221468603632,-2.636236740150987,0.22607815105513895,41,-1.6829281758594017,-1.6219106481600902,-1.630600198766704,-1.7047662030223023,-1.598085820588995,-1.6476582092794985,0.039791023707892316
6,4.974906158447266,0.3363174162612491,0.0027167797088623047,0.0006101994958330653,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2.6118856130291945,-2.6632074433244095,-3.928454681067203,-2.3801123510779494,-3.345964680446927,-2.985924953789137,0.57079800650932,65,-1.7045398184901408,-1.6251105472713743,-1.611747281325222,-1.6973630302889797,-1.587572407913936,-1.6452666170579306,0.047086693376191015
7,4.277861499786377,0.32995230227333006,0.0038156509399414062,0.0014426682255812508,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2.5407460015939427,-2.613420151862012,-2.606914486022967,-2.3678815926723824,-3.052221468603632,-2.636236740150987,0.22607815105513895,41,-1.6829281758594017,-1.6219106481600902,-1.630600198766704,-1.7047662030223023,-1.598085820588995,-1.6476582092794985,0.039791023707892316
8,2.813101291656494,0.13521235269185122,0.0023681640625,0.000373936733155888,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-2.4425739572338454,-2.66045207336571,-2.656594870853371,-2.3102823473060634,-3.0054328425669867,-2.615067218265195,0.23614292041274934,35,-1.6314079316654033,-1.6543166510383975,-1.594635480965124,-1.6590274300464796,-1.547326253218875,-1.617342749386856,0.041762282342752574
9,2.5188717365264894,0.204702070542786,0.0017099857330322265,0.0002603158557384976,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.4021615407647605,-2.5257530949498976,-2.731900437668244,-2.332809526753089,-2.949996672830056,-2.5885242545932092,0.22595589863598473,13,-1.6199090635713835,-1.5955319259651,-1.5576148213262215,-1.6739617781271388,-1.514400185075799,-1.5922835548131287,0.0542453558864802
